Title,Description
The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
Tusk,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.
The Flash,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Black Mirror: Bandersnatch,A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.
"Girl, Interrupted","Directionless teenager Susanna is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There she befriends a group of troubled women who deeply influence her life."
Coyote Ugly,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
Holes,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.
Hannibal,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim."
Thirteen,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend."
The Dark Tower,
The Descent,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
Erin Brockovich,A flamboyant law firm secretary works tirelessly to gain justice for a small town wrecked by a utility company's pollution.
Aladdin,
X-Men: First Class,
Man on Fire,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
Last Night in Soho,
The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
Dirty Dancing,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
La cocina,"In the heart of a bustling Times Square kitchen, dreams and desperation collide as the staff each chase the elusive American dream."
"Monsters, Inc.",
Mr. & Mrs. Smith,"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other."
Blended,
Death on the Nile,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Not Another Teen Movie,A sendup of all the teen movies that have accumulated in the past two decades.
Fly Me to the Moon,
9 Songs,"In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts."
Peter Pan's Neverland Nightmare,
World War Z,
The Watchers,
Drive-Away Dolls,
Priscilla,
The Ritual,"A group of old college friends reunite for a trip to a most dangerous country in Europe - Sweden, encountering a menacing presence there stalking them."
Shame,A nymphomaniac's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.
The King,"Young Henry V encounters deceit, war and treachery after becoming King of England in the 15th century, in the aftermath of his brother's death."
Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
The Prince of Egypt,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
Purple Hearts,
Bring Them Down,
Licorice Pizza,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
Murder on the Orient Express,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
La Dolce Villa,"A successful businessman travels to Italy to stop his daughter from spending all her money to restore an old villa, but Italy has other romantic plans."
Perfect Blue,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
The Banshees of Inisherin,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
The Curious Case of Benjamin Button,
The Perfect Storm,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
King Kong,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
"Husband, Father, Killer: The Alyssa Pladl Story",
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
